table_schema,table_name,column_name,data_type,is_nullable,column_default
auth,sso_providers,id,uuid,NO,null
auth,sso_providers,resource_id,text,YES,null
auth,sso_providers,created_at,timestamp with time zone,YES,null
auth,sso_providers,updated_at,timestamp with time zone,YES,null
auth,sso_providers,disabled,boolean,YES,null
auth,users,instance_id,uuid,YES,null
auth,users,id,uuid,NO,null
auth,users,aud,character varying,YES,null
auth,users,role,character varying,YES,null
auth,users,email,character varying,YES,null
auth,users,encrypted_password,character varying,YES,null
auth,users,email_confirmed_at,timestamp with time zone,YES,null
auth,users,invited_at,timestamp with time zone,YES,null
auth,users,confirmation_token,character varying,YES,null
auth,users,confirmation_sent_at,timestamp with time zone,YES,null
auth,users,recovery_token,character varying,YES,null
auth,users,recovery_sent_at,timestamp with time zone,YES,null
auth,users,email_change_token_new,character varying,YES,null
auth,users,email_change,character varying,YES,null
auth,users,email_change_sent_at,timestamp with time zone,YES,null
auth,users,last_sign_in_at,timestamp with time zone,YES,null
auth,users,raw_app_meta_data,jsonb,YES,null
auth,users,raw_user_meta_data,jsonb,YES,null
auth,users,is_super_admin,boolean,YES,null
auth,users,created_at,timestamp with time zone,YES,null
auth,users,updated_at,timestamp with time zone,YES,null
auth,users,phone,text,YES,NULL::character varying
auth,users,phone_confirmed_at,timestamp with time zone,YES,null
auth,users,phone_change,text,YES,''::character varying
auth,users,phone_change_token,character varying,YES,''::character varying
auth,users,phone_change_sent_at,timestamp with time zone,YES,null
auth,users,confirmed_at,timestamp with time zone,YES,null
auth,users,email_change_token_current,character varying,YES,''::character varying
auth,users,email_change_confirm_status,smallint,YES,0
auth,users,banned_until,timestamp with time zone,YES,null
auth,users,reauthentication_token,character varying,YES,''::character varying
auth,users,reauthentication_sent_at,timestamp with time zone,YES,null
auth,users,is_sso_user,boolean,NO,false
auth,users,deleted_at,timestamp with time zone,YES,null
auth,users,is_anonymous,boolean,NO,false
auth,webauthn_challenges,id,uuid,NO,gen_random_uuid()
auth,webauthn_challenges,user_id,uuid,YES,null
auth,webauthn_challenges,challenge_type,text,NO,null
auth,webauthn_challenges,session_data,jsonb,NO,null
auth,webauthn_challenges,created_at,timestamp with time zone,NO,now()
auth,webauthn_challenges,expires_at,timestamp with time zone,NO,null
auth,webauthn_credentials,id,uuid,NO,gen_random_uuid()
auth,webauthn_credentials,user_id,uuid,NO,null
auth,webauthn_credentials,credential_id,bytea,NO,null
auth,webauthn_credentials,public_key,bytea,NO,null
auth,webauthn_credentials,attestation_type,text,NO,''::text
auth,webauthn_credentials,aaguid,uuid,YES,null
auth,webauthn_credentials,sign_count,bigint,NO,0
auth,webauthn_credentials,transports,jsonb,NO,'[]'::jsonb
auth,webauthn_credentials,backup_eligible,boolean,NO,false
auth,webauthn_credentials,backed_up,boolean,NO,false
auth,webauthn_credentials,friendly_name,text,NO,''::text
auth,webauthn_credentials,created_at,timestamp with time zone,NO,now()
auth,webauthn_credentials,updated_at,timestamp with time zone,NO,now()
auth,webauthn_credentials,last_used_at,timestamp with time zone,YES,null
extensions,pg_stat_statements,userid,oid,YES,null
extensions,pg_stat_statements,dbid,oid,YES,null
extensions,pg_stat_statements,toplevel,boolean,YES,null
extensions,pg_stat_statements,queryid,bigint,YES,null
extensions,pg_stat_statements,query,text,YES,null
extensions,pg_stat_statements,plans,bigint,YES,null
extensions,pg_stat_statements,total_plan_time,double precision,YES,null
extensions,pg_stat_statements,min_plan_time,double precision,YES,null
extensions,pg_stat_statements,max_plan_time,double precision,YES,null
extensions,pg_stat_statements,mean_plan_time,double precision,YES,null
extensions,pg_stat_statements,stddev_plan_time,double precision,YES,null
extensions,pg_stat_statements,calls,bigint,YES,null
extensions,pg_stat_statements,total_exec_time,double precision,YES,null
extensions,pg_stat_statements,min_exec_time,double precision,YES,null
extensions,pg_stat_statements,max_exec_time,double precision,YES,null
extensions,pg_stat_statements,mean_exec_time,double precision,YES,null
extensions,pg_stat_statements,stddev_exec_time,double precision,YES,null
extensions,pg_stat_statements,rows,bigint,YES,null
extensions,pg_stat_statements,shared_blks_hit,bigint,YES,null
extensions,pg_stat_statements,shared_blks_read,bigint,YES,null
extensions,pg_stat_statements,shared_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,shared_blks_written,bigint,YES,null
extensions,pg_stat_statements,local_blks_hit,bigint,YES,null
extensions,pg_stat_statements,local_blks_read,bigint,YES,null
extensions,pg_stat_statements,local_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,local_blks_written,bigint,YES,null
extensions,pg_stat_statements,temp_blks_read,bigint,YES,null
extensions,pg_stat_statements,temp_blks_written,bigint,YES,null
extensions,pg_stat_statements,shared_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,shared_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,local_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,local_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,wal_records,bigint,YES,null
extensions,pg_stat_statements,wal_fpi,bigint,YES,null
extensions,pg_stat_statements,wal_bytes,numeric,YES,null
extensions,pg_stat_statements,jit_functions,bigint,YES,null
extensions,pg_stat_statements,jit_generation_time,double precision,YES,null
extensions,pg_stat_statements,jit_inlining_count,bigint,YES,null
extensions,pg_stat_statements,jit_inlining_time,double precision,YES,null
extensions,pg_stat_statements,jit_optimization_count,bigint,YES,null
extensions,pg_stat_statements,jit_optimization_time,double precision,YES,null
extensions,pg_stat_statements,jit_emission_count,bigint,YES,null
extensions,pg_stat_statements,jit_emission_time,double precision,YES,null
extensions,pg_stat_statements,jit_deform_count,bigint,YES,null
extensions,pg_stat_statements,jit_deform_time,double precision,YES,null
extensions,pg_stat_statements,stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements,minmax_stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements_info,dealloc,bigint,YES,null
extensions,pg_stat_statements_info,stats_reset,timestamp with time zone,YES,null
public,notificacoes,id,uuid,NO,gen_random_uuid()
public,notificacoes,user_id,uuid,YES,null
public,notificacoes,tipo,text,NO,null
public,notificacoes,canal,text,NO,null
public,notificacoes,enviada_em,timestamp with time zone,YES,now()
public,notificacoes,status,text,YES,'enviado'::text
public,pagamentos,id,uuid,NO,gen_random_uuid()
public,pagamentos,user_id,uuid,YES,null
public,pagamentos,pix_id,text,NO,null
public,pagamentos,valor,integer,NO,null
public,pagamentos,plano,text,YES,null
public,pagamentos,status,text,YES,'PENDING'::text
public,pagamentos,criado_em,timestamp with time zone,YES,now()
public,pagamentos,creditos_comprados,integer,YES,null
public,pagamentos,pacote,text,YES,null
public,trabalhos,id,uuid,NO,gen_random_uuid()
public,trabalhos,user_id,uuid,YES,null
public,trabalhos,titulo,text,NO,null
public,trabalhos,disciplina,text,YES,null
public,trabalhos,enunciado,text,YES,null
public,trabalhos,pdf_url,text,YES,null
public,trabalhos,criado_em,timestamp with time zone,YES,now()
public,users,id,uuid,NO,gen_random_uuid()
public,users,email,text,NO,null
public,users,nome,text,YES,null
public,users,criado_em,timestamp with time zone,YES,now()
public,users,creditos,integer,YES,1
public,users,telefone,text,YES,null
public,users,serie,text,YES,null
public,users,ultimo_login,timestamp with time zone,YES,null
public,users,total_trabalhos,integer,YES,0
public,users,telefone_coletado,boolean,YES,false
public,users,trabalho_gratis_usado,boolean,YES,false
public,users,ultimo_mes_gratis,text,YES,null
realtime,messages,topic,text,NO,null
realtime,messages,extension,text,NO,null
realtime,messages,payload,jsonb,YES,null
realtime,messages,event,text,YES,null
realtime,messages,private,boolean,YES,false
realtime,messages,updated_at,timestamp without time zone,NO,now()
realtime,messages,inserted_at,timestamp without time zone,NO,now()
realtime,messages,id,uuid,NO,gen_random_uuid()
realtime,schema_migrations,version,bigint,NO,null
realtime,schema_migrations,inserted_at,timestamp without time zone,YES,null
realtime,subscription,id,bigint,NO,null
realtime,subscription,subscription_id,uuid,NO,null
realtime,subscription,entity,regclass,NO,null
realtime,subscription,filters,ARRAY,NO,'{}'::realtime.user_defined_filter[]
realtime,subscription,claims,jsonb,NO,null
realtime,subscription,claims_role,regrole,NO,null
realtime,subscription,created_at,timestamp without time zone,NO,"timezone('utc'::text, now())"
realtime,subscription,action_filter,text,YES,'*'::text
storage,buckets,id,text,NO,null
storage,buckets,name,text,NO,null
storage,buckets,owner,uuid,YES,null
storage,buckets,created_at,timestamp with time zone,YES,now()
storage,buckets,updated_at,timestamp with time zone,YES,now()
storage,buckets,public,boolean,YES,false
storage,buckets,avif_autodetection,boolean,YES,false
storage,buckets,file_size_limit,bigint,YES,null
storage,buckets,allowed_mime_types,ARRAY,YES,null
storage,buckets,owner_id,text,YES,null
storage,buckets,type,USER-DEFINED,NO,'STANDARD'::storage.buckettype
storage,buckets_analytics,name,text,NO,null
storage,buckets_analytics,type,USER-DEFINED,NO,'ANALYTICS'::storage.buckettype
storage,buckets_analytics,format,text,NO,'ICEBERG'::text
storage,buckets_analytics,created_at,timestamp with time zone,NO,now()
storage,buckets_analytics,updated_at,timestamp with time zone,NO,now()
storage,buckets_analytics,id,uuid,NO,gen_random_uuid()
storage,buckets_analytics,deleted_at,timestamp with time zone,YES,null
storage,buckets_vectors,id,text,NO,null
storage,buckets_vectors,type,USER-DEFINED,NO,'VECTOR'::storage.buckettype
storage,buckets_vectors,created_at,timestamp with time zone,NO,now()
storage,buckets_vectors,updated_at,timestamp with time zone,NO,now()
storage,migrations,id,integer,NO,null
storage,migrations,name,character varying,NO,null
storage,migrations,hash,character varying,NO,null
storage,migrations,executed_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
storage,objects,id,uuid,NO,gen_random_uuid()
storage,objects,bucket_id,text,YES,null
storage,objects,name,text,YES,null
storage,objects,owner,uuid,YES,null
storage,objects,created_at,timestamp with time zone,YES,now()
storage,objects,updated_at,timestamp with time zone,YES,now()
storage,objects,last_accessed_at,timestamp with time zone,YES,now()
storage,objects,metadata,jsonb,YES,null
storage,objects,path_tokens,ARRAY,YES,null
storage,objects,version,text,YES,null
storage,objects,owner_id,text,YES,null
storage,objects,user_metadata,jsonb,YES,null
storage,s3_multipart_uploads,id,text,NO,null
storage,s3_multipart_uploads,in_progress_size,bigint,NO,0
storage,s3_multipart_uploads,upload_signature,text,NO,null
storage,s3_multipart_uploads,bucket_id,text,NO,null
storage,s3_multipart_uploads,key,text,NO,null
storage,s3_multipart_uploads,version,text,NO,null
storage,s3_multipart_uploads,owner_id,text,YES,null
storage,s3_multipart_uploads,created_at,timestamp with time zone,NO,now()
storage,s3_multipart_uploads,user_metadata,jsonb,YES,null
storage,s3_multipart_uploads,metadata,jsonb,YES,null
storage,s3_multipart_uploads_parts,id,uuid,NO,gen_random_uuid()
storage,s3_multipart_uploads_parts,upload_id,text,NO,null
storage,s3_multipart_uploads_parts,size,bigint,NO,0
storage,s3_multipart_uploads_parts,part_number,integer,NO,null
storage,s3_multipart_uploads_parts,bucket_id,text,NO,null
storage,s3_multipart_uploads_parts,key,text,NO,null
storage,s3_multipart_uploads_parts,etag,text,NO,null
storage,s3_multipart_uploads_parts,owner_id,text,YES,null
storage,s3_multipart_uploads_parts,version,text,NO,null
storage,s3_multipart_uploads_parts,created_at,timestamp with time zone,NO,now()
storage,vector_indexes,id,text,NO,gen_random_uuid()
storage,vector_indexes,name,text,NO,null
storage,vector_indexes,bucket_id,text,NO,null
storage,vector_indexes,data_type,text,NO,null
storage,vector_indexes,dimension,integer,NO,null
storage,vector_indexes,distance_metric,text,NO,null
storage,vector_indexes,metadata_configuration,jsonb,YES,null
storage,vector_indexes,created_at,timestamp with time zone,NO,now()
storage,vector_indexes,updated_at,timestamp with time zone,NO,now()
vault,decrypted_secrets,id,uuid,YES,null
vault,decrypted_secrets,name,text,YES,null
vault,decrypted_secrets,description,text,YES,null
vault,decrypted_secrets,secret,text,YES,null
vault,decrypted_secrets,decrypted_secret,text,YES,null
vault,decrypted_secrets,key_id,uuid,YES,null
vault,decrypted_secrets,nonce,bytea,YES,null
vault,decrypted_secrets,created_at,timestamp with time zone,YES,null
vault,decrypted_secrets,updated_at,timestamp with time zone,YES,null
vault,secrets,id,uuid,NO,gen_random_uuid()
vault,secrets,name,text,YES,null
vault,secrets,description,text,NO,''::text
vault,secrets,secret,text,NO,null
vault,secrets,key_id,uuid,YES,null
vault,secrets,nonce,bytea,YES,vault._crypto_aead_det_noncegen()
vault,secrets,created_at,timestamp with time zone,NO,CURRENT_TIMESTAMP
vault,secrets,updated_at,timestamp with time zone,NO,CURRENT_TIMESTAMP
